Fecha_filtro,Marea_filtro,,
05/05/2021 9:00,2.475,05/05/2021 0:00,9:00:00
05/05/2021 9:30,2.669,05/05/2021 0:00,9:30:00
05/05/2021 10:00,2.815,05/05/2021 0:00,10:00:00
05/05/2021 10:30,2.905,05/05/2021 0:00,10:30:00
05/05/2021 11:00,2.933,05/05/2021 0:00,11:00:00
05/05/2021 11:30,2.897,05/05/2021 0:00,11:30:00
05/05/2021 12:00,2.799,05/05/2021 0:00,12:00:00
05/05/2021 12:30,2.647,05/05/2021 0:00,12:30:00
05/05/2021 13:00,2.45,05/05/2021 0:00,13:00:00
05/05/2021 13:30,2.221,05/05/2021 0:00,13:30:00
05/05/2021 14:00,1.977,05/05/2021 0:00,14:00:00
05/05/2021 14:30,1.733,05/05/2021 0:00,14:30:00
05/05/2021 15:00,1.504,05/05/2021 0:00,15:00:00
05/05/2021 15:30,1.303,05/05/2021 0:00,15:30:00
05/05/2021 16:00,1.143,05/05/2021 0:00,16:00:00
05/05/2021 16:30,1.032,05/05/2021 0:00,16:30:00
05/05/2021 17:00,0.976,05/05/2021 0:00,17:00:00
05/05/2021 17:30,0.977,05/05/2021 0:00,17:30:00
05/05/2021 18:00,1.034,05/05/2021 0:00,18:00:00
05/05/2021 18:30,1.144,05/05/2021 0:00,18:30:00
05/05/2021 19:00,1.299,05/05/2021 0:00,19:00:00
05/05/2021 19:30,1.49,05/05/2021 0:00,19:30:00
05/05/2021 20:00,1.703,05/05/2021 0:00,20:00:00
05/05/2021 20:30,1.927,05/05/2021 0:00,20:30:00
05/05/2021 21:00,2.146,05/05/2021 0:00,21:00:00
05/05/2021 21:30,2.347,05/05/2021 0:00,21:30:00
05/05/2021 22:00,2.518,05/05/2021 0:00,22:00:00
05/05/2021 22:30,2.648,05/05/2021 0:00,22:30:00
05/05/2021 23:00,2.727,05/05/2021 0:00,23:00:00
05/05/2021 23:30,2.75,05/05/2021 0:00,23:30:00
06/05/2021 0:00,2.714,06/05/2021 0:00,0:00:00
