Fecha_filtro	Marea_filtro
01/05/2021 22:00:00	2.034
01/05/2021 22:10:00	1.899
01/05/2021 22:20:00	1.764
01/05/2021 22:30:00	1.629
01/05/2021 22:40:00	1.497
01/05/2021 22:50:00	1.367
01/05/2021 23:00:00	1.241
01/05/2021 23:10:00	1.119
01/05/2021 23:20:00	1.003
01/05/2021 23:30:00	0.892
01/05/2021 23:40:00	0.788
01/05/2021 23:50:00	0.691
02/05/2021 00:00:00	0.603
02/05/2021 00:10:00	0.522
02/05/2021 00:20:00	0.451
02/05/2021 00:30:00	0.389
02/05/2021 00:40:00	0.337
02/05/2021 00:50:00	0.295
02/05/2021 01:00:00	0.263
02/05/2021 01:10:00	0.242
02/05/2021 01:20:00	0.231
02/05/2021 01:30:00	0.232
02/05/2021 01:40:00	0.243
02/05/2021 01:50:00	0.265
02/05/2021 02:00:00	0.297
02/05/2021 02:10:00	0.339
02/05/2021 02:20:00	0.392
02/05/2021 02:30:00	0.454
02/05/2021 02:40:00	0.525
02/05/2021 02:50:00	0.605
02/05/2021 03:00:00	0.693
02/05/2021 03:10:00	0.789
02/05/2021 03:20:00	0.891
02/05/2021 03:30:00	0.999
02/05/2021 03:40:00	1.112
02/05/2021 03:50:00	1.23
02/05/2021 04:00:00	1.352
02/05/2021 04:10:00	1.476
02/05/2021 04:20:00	1.602
02/05/2021 04:30:00	1.73
02/05/2021 04:40:00	1.857
02/05/2021 04:50:00	1.984
02/05/2021 05:00:00	2.11
02/05/2021 05:10:00	2.233
02/05/2021 05:20:00	2.353
02/05/2021 05:30:00	2.47
02/05/2021 05:40:00	2.581
02/05/2021 05:50:00	2.687
02/05/2021 06:00:00	2.787
02/05/2021 06:10:00	2.879
02/05/2021 06:20:00	2.964
02/05/2021 06:30:00	3.042
02/05/2021 06:40:00	3.11
02/05/2021 06:50:00	3.169
02/05/2021 07:00:00	3.219
02/05/2021 07:10:00	3.259
02/05/2021 07:20:00	3.289
02/05/2021 07:30:00	3.309
02/05/2021 07:40:00	3.318
02/05/2021 07:50:00	3.318
02/05/2021 08:00:00	3.306
02/05/2021 08:10:00	3.285
02/05/2021 08:20:00	3.253
02/05/2021 08:30:00	3.212
02/05/2021 08:40:00	3.161
02/05/2021 08:50:00	3.101
02/05/2021 09:00:00	3.033
02/05/2021 09:10:00	2.957
02/05/2021 09:20:00	2.873
02/05/2021 09:30:00	2.783
02/05/2021 09:40:00	2.686
02/05/2021 09:50:00	2.585
02/05/2021 10:00:00	2.479
02/05/2021 10:10:00	2.369
02/05/2021 10:20:00	2.256
02/05/2021 10:30:00	2.142
02/05/2021 10:40:00	2.026
02/05/2021 10:50:00	1.91
02/05/2021 11:00:00	1.794
02/05/2021 11:10:00	1.68
02/05/2021 11:20:00	1.568
02/05/2021 11:30:00	1.459
02/05/2021 11:40:00	1.353
