"Presion","Profundidad","Temperatura","Conductividad","Conductancia","Salinidad","Vel_Sonido","Densidad","Latitud","Longitud","Fecha","Hora","Estacion","Marea","Transecto","No.Estacion"
"86",2.55,2.571733056,28.02070935,42914.15084,40469.23492,25.85491775,1531.797605,1015.541265,2.6708288,-78.3162899,"29/04/2021","16:05","S06","Alta","Sanquianga","6"
"87",2.85,2.873668157,28.02226043,44291.37815,41766.77662,26.7791726,1532.776088,1016.233881,2.6708288,-78.3162899,"29/04/2021","16:05","S06","Alta","Sanquianga","6"
"88",3.15,3.175410941,28.02597749,45487.15648,42891.38893,27.58384519,1533.63429,1016.836547,2.6708288,-78.3162899,"29/04/2021","16:05","S06","Alta","Sanquianga","6"
"89",3.45,3.47699369,28.03409932,46436.23301,43779.59993,28.22170225,1534.327498,1017.313058,2.6708288,-78.3162899,"29/04/2021","16:05","S06","Alta","Sanquianga","6"
"90",3.75,3.778447095,28.03872289,47220.2343,44514.86738,28.75128482,1534.899245,1017.709685,2.6708288,-78.3162899,"29/04/2021","16:05","S06","Alta","Sanquianga","6"
"91",4.05,4.07978068,28.04853161,48042.00518,45281.18284,29.30473106,1535.507831,1018.12264,2.6708288,-78.3162899,"29/04/2021","16:05","S06","Alta","Sanquianga","6"
"92",4.35,4.381033402,28.04944179,48302.72257,45526.13651,29.48191655,1535.701134,1018.256463,2.6708288,-78.3162899,"29/04/2021","16:05","S06","Alta","Sanquianga","6"
"93",4.65,4.682246357,28.05278021,48570.0492,45775.21574,29.6622436,1535.903197,1018.391875,2.6708288,-78.3162899,"29/04/2021","16:05","S06","Alta","Sanquianga","6"
"94",4.95,4.983421325,28.05525177,48809.35273,45998.60626,29.82410275,1536.083919,1018.513729,2.6708288,-78.3162899,"29/04/2021","16:05","S06","Alta","Sanquianga","6"
"95",5.25,5.284544473,28.05196165,49248.5119,46415.35427,30.12648471,1536.39948,1018.742815,2.6708288,-78.3162899,"29/04/2021","16:05","S06","Alta","Sanquianga","6"
"96",5.55,5.585610909,28.0457988,49538.36227,46693.95446,30.32886011,1536.603532,1018.897859,2.6708288,-78.3162899,"29/04/2021","16:05","S06","Alta","Sanquianga","6"
"97",5.85,5.886639847,28.04042296,49720.42189,46870.31052,30.45704157,1536.731362,1018.997018,2.6708288,-78.3162899,"29/04/2021","16:05","S06","Alta","Sanquianga","6"
"98",6.15,6.187642435,28.03053899,49857.29246,47008.09516,30.5572328,1536.819692,1019.07664,2.6708288,-78.3162899,"29/04/2021","16:05","S06","Alta","Sanquianga","6"
"99",6.45,6.488624271,28.01948593,49956.59969,47111.54665,30.63247412,1536.879178,1019.137928,2.6708288,-78.3162899,"29/04/2021","16:05","S06","Alta","Sanquianga","6"
"100",6.75,6.789582545,28.00672578,50125.6721,47282.3697,30.75681932,1536.986512,1019.236605,2.6708288,-78.3162899,"29/04/2021","16:05","S06","Alta","Sanquianga","6"
