"combinada","altura","fecha","hora","fecha_Hora"
"264","30/04/2021 19:50",3.134,"2021-04-30","19:50:00",2021-04-30 19:50:00
"265","30/04/2021 20:00",3.02,"2021-04-30","20:00:00",2021-04-30 20:00:00
"266","30/04/2021 20:10",2.897,"2021-04-30","20:10:00",2021-04-30 20:10:00
"267","30/04/2021 20:20",2.767,"2021-04-30","20:20:00",2021-04-30 20:20:00
"268","30/04/2021 20:30",2.631,"2021-04-30","20:30:00",2021-04-30 20:30:00
"269","30/04/2021 20:40",2.488,"2021-04-30","20:40:00",2021-04-30 20:40:00
"270","30/04/2021 20:50",2.342,"2021-04-30","20:50:00",2021-04-30 20:50:00
"271","30/04/2021 21:00",2.192,"2021-04-30","21:00:00",2021-04-30 21:00:00
"272","30/04/2021 21:10",2.04,"2021-04-30","21:10:00",2021-04-30 21:10:00
"273","30/04/2021 21:20",1.886,"2021-04-30","21:20:00",2021-04-30 21:20:00
"274","30/04/2021 21:30",1.733,"2021-04-30","21:30:00",2021-04-30 21:30:00
"275","30/04/2021 21:40",1.581,"2021-04-30","21:40:00",2021-04-30 21:40:00
"276","30/04/2021 21:50",1.431,"2021-04-30","21:50:00",2021-04-30 21:50:00
"277","30/04/2021 22:00",1.285,"2021-04-30","22:00:00",2021-04-30 22:00:00
"278","30/04/2021 22:10",1.142,"2021-04-30","22:10:00",2021-04-30 22:10:00
"279","30/04/2021 22:20",1.005,"2021-04-30","22:20:00",2021-04-30 22:20:00
"280","30/04/2021 22:30",0.874,"2021-04-30","22:30:00",2021-04-30 22:30:00
"281","30/04/2021 22:40",0.75,"2021-04-30","22:40:00",2021-04-30 22:40:00
"282","30/04/2021 22:50",0.634,"2021-04-30","22:50:00",2021-04-30 22:50:00
"283","30/04/2021 23:00",0.527,"2021-04-30","23:00:00",2021-04-30 23:00:00
"284","30/04/2021 23:10",0.428,"2021-04-30","23:10:00",2021-04-30 23:10:00
"285","30/04/2021 23:20",0.34,"2021-04-30","23:20:00",2021-04-30 23:20:00
"286","30/04/2021 23:30",0.261,"2021-04-30","23:30:00",2021-04-30 23:30:00
"287","30/04/2021 23:40",0.194,"2021-04-30","23:40:00",2021-04-30 23:40:00
"288","30/04/2021 23:50",0.138,"2021-04-30","23:50:00",2021-04-30 23:50:00
"289","01/05/2021 0:00",0.093,"2021-05-01","0:00:00",2021-05-01 00:00:00
"290","01/05/2021 0:10",0.06,"2021-05-01","0:10:00",2021-05-01 00:10:00
"291","01/05/2021 0:20",0.039,"2021-05-01","0:20:00",2021-05-01 00:20:00
"292","01/05/2021 0:30",0.03,"2021-05-01","0:30:00",2021-05-01 00:30:00
"293","01/05/2021 0:40",0.034,"2021-05-01","0:40:00",2021-05-01 00:40:00
"294","01/05/2021 0:50",0.049,"2021-05-01","0:50:00",2021-05-01 00:50:00
"295","01/05/2021 1:00",0.077,"2021-05-01","1:00:00",2021-05-01 01:00:00
"296","01/05/2021 1:10",0.116,"2021-05-01","1:10:00",2021-05-01 01:10:00
"297","01/05/2021 1:20",0.167,"2021-05-01","1:20:00",2021-05-01 01:20:00
"298","01/05/2021 1:30",0.23,"2021-05-01","1:30:00",2021-05-01 01:30:00
"299","01/05/2021 1:40",0.303,"2021-05-01","1:40:00",2021-05-01 01:40:00
"300","01/05/2021 1:50",0.386,"2021-05-01","1:50:00",2021-05-01 01:50:00
"301","01/05/2021 2:00",0.479,"2021-05-01","2:00:00",2021-05-01 02:00:00
"302","01/05/2021 2:10",0.581,"2021-05-01","2:10:00",2021-05-01 02:10:00
"303","01/05/2021 2:20",0.691,"2021-05-01","2:20:00",2021-05-01 02:20:00
"304","01/05/2021 2:30",0.809,"2021-05-01","2:30:00",2021-05-01 02:30:00
"305","01/05/2021 2:40",0.933,"2021-05-01","2:40:00",2021-05-01 02:40:00
"306","01/05/2021 2:50",1.063,"2021-05-01","2:50:00",2021-05-01 02:50:00
"307","01/05/2021 3:00",1.198,"2021-05-01","3:00:00",2021-05-01 03:00:00
"308","01/05/2021 3:10",1.337,"2021-05-01","3:10:00",2021-05-01 03:10:00
